id_transakcja,id_terapia,id_dziecko,kwota,numer_transakcji,sposob_platnosci,ocena_terapii
106,15,17,225,xx-106,gotowka,6
107,15,18,225,xx-107,gotowka,4
108,15,19,225,xx-108,przelew,7
109,15,20,225,xx-109,karta,4
110,15,21,225,xx-110,przelew,10
111,15,22,225,xx-111,gotowka,4
112,15,23,225,xx-112,przelew,10
113,15,24,225,xx-113,przelew,8
114,15,25,225,xx-114,gotowka,4
115,15,26,225,xx-115,gotowka,10
116,16,27,120,xx-116,gotowka,6
117,16,28,120,xx-117,przelew,4
118,16,29,120,xx-118,gotowka,7
119,16,30,120,xx-119,karta,10
120,16,31,120,xx-120,gotowka,5
121,16,32,120,xx-121,przelew,9
122,17,1,360,xx-122,przelew,7
123,17,3,360,xx-123,gotowka,9
124,17,5,360,xx-124,karta,5
125,17,6,360,xx-125,gotowka,8
126,17,7,360,xx-126,gotowka,7
127,17,8,360,xx-127,przelew,8
128,17,9,360,xx-128,karta,8
129,17,10,360,xx-129,gotowka,5
130,18,13,420,xx-130,przelew,5
131,18,15,420,xx-131,przelew,7
132,18,16,420,xx-132,przelew,10
133,19,17,360,xx-133,gotowka,3
134,19,18,360,xx-134,gotowka,7
135,19,19,360,xx-135,gotowka,7
136,19,20,360,xx-136,przelew,4
137,19,21,360,xx-137,gotowka,6
138,19,22,360,xx-138,przelew,10
139,19,23,360,xx-139,gotowka,6
140,19,24,360,xx-140,gotowka,9
141,19,25,360,xx-141,przelew,3
142,19,26,360,xx-142,gotowka,9
143,20,27,360,xx-143,gotowka,9
144,20,28,360,xx-144,karta,10
145,20,29,360,xx-145,przelew,3
146,20,30,360,xx-146,karta,4
147,20,31,360,xx-147,przelew,5
148,20,32,360,xx-148,karta,7
149,21,3,150,xx-149,karta,9
150,21,5,150,xx-150,przelew,10
151,21,6,150,xx-151,gotowka,4
152,21,7,150,xx-152,przelew,7
153,21,8,150,xx-153,przelew,5
154,21,9,150,xx-154,przelew,6
155,21,10,150,xx-155,gotowka,4
156,22,13,630,xx-156,przelew,7
157,22,15,630,xx-157,przelew,5
158,22,16,630,xx-158,przelew,6
159,23,17,60,xx-159,gotowka,6
160,23,18,60,xx-160,karta,4
161,23,19,60,xx-161,przelew,5
162,23,20,60,xx-162,gotowka,3
163,23,21,60,xx-163,przelew,4
164,23,22,60,xx-164,karta,6
165,23,24,60,xx-165,przelew,8
166,23,25,60,xx-166,przelew,9
167,23,26,60,xx-167,karta,10
168,24,27,60,xx-168,gotowka,9
169,24,28,60,xx-169,gotowka,5
170,24,29,60,xx-170,gotowka,7
171,24,30,60,xx-171,karta,10
172,24,31,60,xx-172,gotowka,6
173,24,32,60,xx-173,przelew,10
174,25,5,270,xx-174,gotowka,5
175,25,6,270,xx-175,karta,10
176,25,8,270,xx-176,karta,9
177,25,9,270,xx-177,gotowka,3
178,25,10,270,xx-178,gotowka,4
179,26,13,180,xx-179,gotowka,7
180,26,15,180,xx-180,przelew,6
181,27,17,180,xx-181,gotowka,9
182,27,18,180,xx-182,karta,3
183,27,19,180,xx-183,przelew,4
184,27,20,180,xx-184,karta,9
185,27,21,180,xx-185,gotowka,9
186,27,22,180,xx-186,karta,9
187,27,24,180,xx-187,przelew,5
188,27,25,180,xx-188,karta,4
189,27,26,180,xx-189,gotowka,8
190,28,27,135,xx-190,karta,8
191,28,28,135,xx-191,gotowka,6
192,28,29,135,xx-192,przelew,8
193,28,30,135,xx-193,gotowka,7
194,28,31,135,xx-194,przelew,3
195,28,32,135,xx-195,karta,8
196,29,33,135,xx-196,gotowka,3
197,29,34,135,xx-197,gotowka,5
198,29,35,135,xx-198,karta,5
199,29,36,135,xx-199,przelew,5
200,29,37,135,xx-200,gotowka,3
201,29,38,135,xx-201,karta,7
202,29,39,135,xx-202,karta,4
203,29,40,135,xx-203,przelew,10
204,29,41,135,xx-204,karta,7
205,29,42,135,xx-205,karta,9
206,30,43,180,xx-206,karta,6
207,30,44,180,xx-207,przelew,10
208,30,45,180,xx-208,karta,4
209,30,46,180,xx-209,przelew,9
210,30,47,180,xx-210,gotowka,9
211,30,48,180,xx-211,gotowka,6
212,31,5,540,xx-212,przelew,9
213,31,6,540,xx-213,przelew,3
214,31,8,540,xx-214,przelew,7
215,31,10,540,xx-215,przelew,6
216,32,13,135,xx-216,przelew,4
217,33,17,540,xx-217,gotowka,4
218,33,18,540,xx-218,karta,3
219,33,19,540,xx-219,gotowka,5
220,33,20,540,xx-220,karta,10
221,33,21,540,xx-221,gotowka,7
222,33,22,540,xx-222,gotowka,4
223,33,24,540,xx-223,przelew,8
224,33,25,540,xx-224,gotowka,5
225,33,26,540,xx-225,przelew,5
226,34,27,225,xx-226,gotowka,8
227,34,28,225,xx-227,gotowka,3
228,34,29,225,xx-228,karta,8
229,34,30,225,xx-229,przelew,3
230,34,31,225,xx-230,karta,3
231,34,32,225,xx-231,karta,5
232,35,33,90,xx-232,przelew,9
233,35,34,90,xx-233,gotowka,9
234,35,35,90,xx-234,przelew,10
235,35,36,90,xx-235,gotowka,3
236,35,37,90,xx-236,gotowka,7
237,35,38,90,xx-237,przelew,9
238,35,39,90,xx-238,przelew,7
239,35,40,90,xx-239,karta,10
240,35,41,90,xx-240,karta,5
241,35,42,90,xx-241,karta,9
242,36,43,300,xx-242,przelew,4
243,36,44,300,xx-243,karta,10
244,36,45,300,xx-244,przelew,5
245,36,46,300,xx-245,przelew,9
246,36,47,300,xx-246,przelew,10
247,36,48,300,xx-247,przelew,10
248,37,5,240,xx-248,karta,9
249,37,6,240,xx-249,karta,9
250,37,8,240,xx-250,karta,8
251,37,10,240,xx-251,gotowka,4
252,38,13,45,xx-252,przelew,4
253,39,17,60,xx-253,gotowka,4
254,39,18,60,xx-254,przelew,8
255,39,19,60,xx-255,karta,7
256,39,20,60,xx-256,karta,5
257,39,21,60,xx-257,gotowka,8
258,39,22,60,xx-258,gotowka,3
259,39,24,60,xx-259,gotowka,6
260,39,25,60,xx-260,karta,7
261,39,26,60,xx-261,przelew,10
262,40,27,120,xx-262,przelew,4
263,40,28,120,xx-263,gotowka,8
264,40,29,120,xx-264,gotowka,5
265,40,30,120,xx-265,gotowka,6
266,40,31,120,xx-266,karta,8
267,40,32,120,xx-267,gotowka,6
268,41,33,90,xx-268,karta,8
269,41,34,90,xx-269,karta,10
270,41,35,90,xx-270,karta,8
271,41,36,90,xx-271,gotowka,7
272,41,37,90,xx-272,przelew,9
273,41,38,90,xx-273,przelew,10
274,41,39,90,xx-274,karta,3
275,41,40,90,xx-275,gotowka,6
276,41,41,90,xx-276,karta,10
277,41,42,90,xx-277,przelew,8
278,42,43,360,xx-278,gotowka,3
279,42,44,360,xx-279,karta,9
280,42,45,360,xx-280,karta,5
281,42,46,360,xx-281,karta,5
282,42,47,360,xx-282,karta,7
283,42,48,360,xx-283,gotowka,10
284,43,6,180,xx-284,przelew,6
285,43,8,180,xx-285,przelew,10
286,44,18,210,xx-286,gotowka,9
287,44,19,210,xx-287,gotowka,8
288,44,20,210,xx-288,karta,5
289,44,21,210,xx-289,gotowka,8
290,44,22,210,xx-290,gotowka,4
291,44,24,210,xx-291,karta,9
292,44,25,210,xx-292,gotowka,9
293,45,27,225,xx-293,karta,9
294,45,28,225,xx-294,karta,5
295,45,31,225,xx-295,karta,3
296,45,32,225,xx-296,gotowka,9
297,46,33,60,xx-297,przelew,9
298,46,34,60,xx-298,gotowka,3
299,46,35,60,xx-299,przelew,8
300,46,36,60,xx-300,przelew,4
301,46,37,60,xx-301,karta,5
302,46,38,60,xx-302,karta,9
303,46,39,60,xx-303,karta,9
304,46,40,60,xx-304,przelew,4
305,46,41,60,xx-305,karta,5
306,46,42,60,xx-306,karta,6
307,47,43,300,xx-307,gotowka,4
308,47,44,300,xx-308,przelew,10
309,47,45,300,xx-309,gotowka,7
310,47,46,300,xx-310,gotowka,10
311,47,47,300,xx-311,karta,10
312,47,48,300,xx-312,karta,6
313,48,6,225,xx-313,przelew,8
314,48,8,225,xx-314,karta,10
315,49,18,300,xx-315,karta,8
316,49,19,300,xx-316,przelew,8
317,49,20,300,xx-317,karta,3
318,49,21,300,xx-318,gotowka,10
319,49,24,300,xx-319,przelew,4
320,49,25,300,xx-320,karta,10
321,50,27,180,xx-321,karta,5
322,50,28,180,xx-322,karta,5
323,50,31,180,xx-323,karta,6
324,50,32,180,xx-324,gotowka,6
325,51,33,180,xx-325,przelew,10
326,51,34,180,xx-326,karta,8
327,51,35,180,xx-327,karta,10
328,51,36,180,xx-328,gotowka,10
329,51,37,180,xx-329,przelew,8
330,51,38,180,xx-330,przelew,6
331,51,39,180,xx-331,karta,8
332,51,40,180,xx-332,gotowka,9
333,51,41,180,xx-333,karta,6
334,51,42,180,xx-334,karta,5
335,52,43,450,xx-335,karta,4
336,52,44,450,xx-336,przelew,7
337,52,45,450,xx-337,gotowka,7
338,52,46,450,xx-338,przelew,4
339,52,47,450,xx-339,karta,5
340,52,48,450,xx-340,gotowka,4
341,53,49,300,xx-341,gotowka,9
342,53,50,300,xx-342,karta,6
343,53,51,300,xx-343,gotowka,10
344,53,52,300,xx-344,przelew,6
345,53,53,300,xx-345,karta,5
346,53,54,300,xx-346,przelew,7
347,53,55,300,xx-347,gotowka,3
348,53,56,300,xx-348,przelew,3
349,53,57,300,xx-349,karta,9
350,53,58,300,xx-350,karta,3
351,54,59,315,xx-351,przelew,8
352,54,60,315,xx-352,przelew,5
353,54,61,315,xx-353,przelew,4
354,54,62,315,xx-354,karta,8
355,54,63,315,xx-355,przelew,3
356,54,64,315,xx-356,karta,7
357,55,6,630,xx-357,gotowka,4
358,56,18,420,xx-358,przelew,4
359,56,19,420,xx-359,karta,7
360,56,20,420,xx-360,karta,10
361,56,24,420,xx-361,przelew,6
362,56,25,420,xx-362,przelew,8
363,57,27,315,xx-363,karta,9
364,57,32,315,xx-364,gotowka,5
365,58,33,180,xx-365,gotowka,5
366,58,34,180,xx-366,gotowka,10
367,58,35,180,xx-367,karta,4
368,58,36,180,xx-368,gotowka,9
369,58,37,180,xx-369,gotowka,6
370,58,38,180,xx-370,przelew,4
371,58,40,180,xx-371,gotowka,4
372,58,42,180,xx-372,przelew,10
373,59,43,540,xx-373,gotowka,8
374,59,44,540,xx-374,gotowka,8
375,59,45,540,xx-375,gotowka,5
376,59,46,540,xx-376,karta,10
377,59,47,540,xx-377,gotowka,8
378,59,48,540,xx-378,karta,4
379,60,49,180,xx-379,przelew,10
380,60,50,180,xx-380,gotowka,5
381,60,51,180,xx-381,przelew,7
382,60,52,180,xx-382,przelew,5
383,60,53,180,xx-383,przelew,5
384,60,54,180,xx-384,przelew,7
385,60,55,180,xx-385,gotowka,3
386,60,56,180,xx-386,przelew,7
387,60,57,180,xx-387,gotowka,10
388,60,58,180,xx-388,gotowka,5
389,61,59,210,xx-389,przelew,4
390,61,60,210,xx-390,karta,4
391,61,61,210,xx-391,gotowka,4
392,61,62,210,xx-392,gotowka,9
393,61,63,210,xx-393,przelew,5
394,61,64,210,xx-394,karta,5
395,62,18,180,xx-395,gotowka,10
396,62,19,180,xx-396,karta,7
397,62,24,180,xx-397,karta,4
398,62,25,180,xx-398,przelew,7
399,63,32,60,xx-399,przelew,4
400,64,33,180,xx-400,karta,7
401,64,34,180,xx-401,gotowka,3
402,64,35,180,xx-402,karta,8
403,64,36,180,xx-403,karta,5
404,64,37,180,xx-404,przelew,9
405,64,40,180,xx-405,gotowka,8
406,64,42,180,xx-406,przelew,4
407,65,43,210,xx-407,przelew,5
408,65,44,210,xx-408,przelew,4
409,65,45,210,xx-409,przelew,7
410,65,46,210,xx-410,karta,3
411,65,47,210,xx-411,gotowka,8
412,65,48,210,xx-412,karta,5
413,66,49,240,xx-413,karta,7
414,66,50,240,xx-414,gotowka,6
415,66,51,240,xx-415,gotowka,10
416,66,52,240,xx-416,przelew,8
417,66,53,240,xx-417,karta,3
418,66,54,240,xx-418,przelew,6
419,66,55,240,xx-419,przelew,7
420,66,56,240,xx-420,gotowka,6
421,66,57,240,xx-421,gotowka,8
422,66,58,240,xx-422,gotowka,9
423,67,59,180,xx-423,gotowka,5
424,67,60,180,xx-424,przelew,10
425,67,61,180,xx-425,przelew,5
426,67,62,180,xx-426,przelew,7
427,67,63,180,xx-427,karta,9
428,67,64,180,xx-428,przelew,10
429,68,19,270,xx-429,gotowka,7
430,68,25,270,xx-430,gotowka,8
431,69,32,150,xx-431,przelew,3
432,70,33,120,xx-432,karta,8
433,70,35,120,xx-433,przelew,5
434,70,37,120,xx-434,przelew,5
435,70,40,120,xx-435,przelew,9
436,70,42,120,xx-436,gotowka,5
437,71,43,270,xx-437,gotowka,8
438,71,44,270,xx-438,przelew,5
439,71,45,270,xx-439,gotowka,9
440,71,47,270,xx-440,gotowka,8
441,71,48,270,xx-441,przelew,8
442,72,49,90,xx-442,przelew,8
443,72,50,90,xx-443,karta,10
444,72,51,90,xx-444,przelew,9
445,72,52,90,xx-445,karta,7
446,72,53,90,xx-446,gotowka,9
447,72,54,90,xx-447,gotowka,5
448,72,55,90,xx-448,karta,3
449,72,56,90,xx-449,gotowka,10
450,72,57,90,xx-450,karta,5
451,72,58,90,xx-451,gotowka,4
452,73,59,540,xx-452,karta,3
453,73,60,540,xx-453,przelew,3
454,73,61,540,xx-454,gotowka,6
455,73,62,540,xx-455,karta,8
456,73,63,540,xx-456,przelew,9
457,73,64,540,xx-457,karta,5
458,74,19,120,xx-458,przelew,5
459,74,25,120,xx-459,karta,6
460,75,35,60,xx-460,karta,10
461,75,37,60,xx-461,gotowka,3
462,75,40,60,xx-462,gotowka,8
463,76,44,360,xx-463,gotowka,4
464,76,45,360,xx-464,karta,3
465,76,47,360,xx-465,gotowka,4
466,77,49,90,xx-466,gotowka,3
467,77,51,90,xx-467,gotowka,7
468,77,52,90,xx-468,karta,4
469,77,55,90,xx-469,gotowka,9
470,77,56,90,xx-470,przelew,9
471,77,57,90,xx-471,przelew,10
472,77,58,90,xx-472,gotowka,9
473,78,59,360,xx-473,gotowka,4
474,78,60,360,xx-474,karta,8
475,78,61,360,xx-475,karta,6
476,78,62,360,xx-476,karta,9
477,78,63,360,xx-477,przelew,4
478,78,64,360,xx-478,przelew,7
479,79,65,180,xx-479,karta,5
480,79,66,180,xx-480,gotowka,8
481,79,67,180,xx-481,gotowka,3
482,79,68,180,xx-482,przelew,6
483,79,69,180,xx-483,przelew,3
484,79,70,180,xx-484,karta,8
485,79,71,180,xx-485,przelew,7
486,79,72,180,xx-486,karta,5
487,79,73,180,xx-487,karta,5
488,79,74,180,xx-488,karta,9
489,80,75,60,xx-489,przelew,8
490,80,76,60,xx-490,karta,9
491,80,77,60,xx-491,gotowka,8
492,80,78,60,xx-492,gotowka,5
493,80,79,60,xx-493,przelew,7
494,80,80,60,xx-494,przelew,9
495,81,19,210,xx-495,przelew,6
496,81,25,210,xx-496,karta,5
497,82,35,180,xx-497,karta,8
498,82,37,180,xx-498,gotowka,10
499,83,45,60,xx-499,karta,5
500,83,47,60,xx-500,gotowka,4
501,84,49,180,xx-501,karta,4
502,84,51,180,xx-502,karta,4
503,84,52,180,xx-503,gotowka,6
504,84,55,180,xx-504,przelew,9
505,84,56,180,xx-505,karta,3
506,84,57,180,xx-506,przelew,4
507,84,58,180,xx-507,przelew,8
508,85,59,135,xx-508,karta,4
509,85,60,135,xx-509,gotowka,6
510,85,61,135,xx-510,gotowka,3
511,85,62,135,xx-511,gotowka,7
512,85,63,135,xx-512,gotowka,4
513,85,64,135,xx-513,przelew,6
514,86,65,540,xx-514,gotowka,3
515,86,66,540,xx-515,karta,8
516,86,67,540,xx-516,przelew,3
517,86,68,540,xx-517,przelew,8
518,86,69,540,xx-518,przelew,4
519,86,70,540,xx-519,gotowka,6
520,86,71,540,xx-520,karta,3
521,86,72,540,xx-521,karta,3
522,86,73,540,xx-522,przelew,10
523,86,74,540,xx-523,przelew,10
524,87,75,180,xx-524,przelew,3
525,87,76,180,xx-525,karta,10
526,87,77,180,xx-526,karta,6
527,87,78,180,xx-527,przelew,10
528,87,79,180,xx-528,gotowka,3
529,87,80,180,xx-529,przelew,4
530,88,25,120,xx-530,karta,4
531,89,37,420,xx-531,karta,6
532,90,45,90,xx-532,przelew,6
533,90,47,90,xx-533,gotowka,6
534,91,51,60,xx-534,gotowka,4
535,91,52,60,xx-535,przelew,9
536,91,55,60,xx-536,przelew,4
537,91,56,60,xx-537,przelew,9
538,91,57,60,xx-538,przelew,9
539,91,58,60,xx-539,gotowka,5
540,92,60,120,xx-540,karta,8
541,92,61,120,xx-541,karta,7
542,92,62,120,xx-542,gotowka,6
543,92,63,120,xx-543,karta,9
544,92,64,120,xx-544,przelew,9
545,93,65,45,xx-545,gotowka,6
546,93,66,45,xx-546,przelew,9
547,93,67,45,xx-547,przelew,3
548,93,68,45,xx-548,przelew,4
549,93,69,45,xx-549,karta,5
550,93,70,45,xx-550,przelew,6
551,93,71,45,xx-551,przelew,3
552,93,72,45,xx-552,gotowka,10
553,93,73,45,xx-553,przelew,3
554,93,74,45,xx-554,karta,5
555,94,75,180,xx-555,przelew,10
556,94,76,180,xx-556,karta,4
557,94,77,180,xx-557,karta,10
558,94,78,180,xx-558,gotowka,5
559,94,79,180,xx-559,przelew,7
560,94,80,180,xx-560,karta,5
561,95,45,225,xx-561,gotowka,9
562,95,47,225,xx-562,gotowka,9
563,96,51,630,xx-563,przelew,5
564,96,52,630,xx-564,karta,3
565,96,55,630,xx-565,karta,3
566,96,56,630,xx-566,gotowka,9
567,96,57,630,xx-567,przelew,8
568,96,58,630,xx-568,gotowka,10
569,97,60,360,xx-569,przelew,5
570,97,61,360,xx-570,gotowka,9
571,97,62,360,xx-571,przelew,7
572,97,63,360,xx-572,gotowka,5
573,97,64,360,xx-573,gotowka,4
574,98,65,360,xx-574,przelew,7
575,98,66,360,xx-575,karta,10
576,98,67,360,xx-576,karta,5
577,98,68,360,xx-577,gotowka,10
578,98,69,360,xx-578,przelew,10
579,98,70,360,xx-579,przelew,9
580,98,71,360,xx-580,gotowka,7
581,98,72,360,xx-581,gotowka,4
582,98,73,360,xx-582,karta,8
583,98,74,360,xx-583,gotowka,5
584,99,75,225,xx-584,karta,3
585,99,76,225,xx-585,gotowka,9
586,99,77,225,xx-586,karta,4
587,99,78,225,xx-587,gotowka,10
588,99,79,225,xx-588,gotowka,4
589,99,80,225,xx-589,przelew,4
590,100,60,630,xx-590,karta,8
591,101,65,120,xx-591,gotowka,3
592,101,72,120,xx-592,przelew,6
593,101,73,120,xx-593,przelew,4
594,101,74,120,xx-594,gotowka,3
595,102,76,150,xx-595,gotowka,5
596,102,77,150,xx-596,przelew,3
597,102,79,150,xx-597,gotowka,3
598,102,80,150,xx-598,karta,5
599,103,81,270,xx-599,gotowka,10
600,103,82,270,xx-600,karta,7
601,103,83,270,xx-601,gotowka,7
602,103,84,270,xx-602,przelew,7
603,103,85,270,xx-603,karta,4
604,103,86,270,xx-604,karta,9
605,103,87,270,xx-605,karta,5
606,103,88,270,xx-606,gotowka,7
607,103,89,270,xx-607,karta,7
608,103,90,270,xx-608,przelew,4
609,104,91,90,xx-609,przelew,6
610,104,92,90,xx-610,karta,5
611,104,93,90,xx-611,gotowka,9
612,104,94,90,xx-612,przelew,3
613,104,95,90,xx-613,karta,4
614,104,96,90,xx-614,przelew,9
615,105,72,60,xx-615,gotowka,3
616,105,73,60,xx-616,karta,5
617,105,74,60,xx-617,karta,10
618,106,76,315,xx-618,karta,10
619,106,77,315,xx-619,przelew,10
620,106,79,315,xx-620,przelew,9
621,106,80,315,xx-621,karta,7
622,107,81,180,xx-622,przelew,5
623,107,82,180,xx-623,gotowka,9
624,107,83,180,xx-624,przelew,8
625,107,84,180,xx-625,gotowka,4
626,107,85,180,xx-626,gotowka,5
627,107,86,180,xx-627,gotowka,8
628,107,87,180,xx-628,gotowka,5
629,107,88,180,xx-629,gotowka,10
630,107,89,180,xx-630,gotowka,4
631,107,90,180,xx-631,przelew,8
632,108,91,360,xx-632,karta,10
633,108,92,360,xx-633,karta,6
634,108,93,360,xx-634,przelew,5
635,108,94,360,xx-635,karta,4
636,108,95,360,xx-636,gotowka,7
637,108,96,360,xx-637,karta,9
638,109,76,45,xx-638,karta,7
639,109,77,45,xx-639,gotowka,4
640,109,79,45,xx-640,przelew,7
641,109,80,45,xx-641,przelew,8
642,110,81,450,xx-642,karta,8
643,110,82,450,xx-643,gotowka,7
644,110,83,450,xx-644,przelew,3
645,110,84,450,xx-645,karta,3
646,110,85,450,xx-646,karta,4
647,110,86,450,xx-647,przelew,7
648,110,87,450,xx-648,przelew,10
649,110,88,450,xx-649,gotowka,4
650,110,89,450,xx-650,przelew,10
651,110,90,450,xx-651,przelew,6
652,111,91,90,xx-652,karta,8
653,111,92,90,xx-653,gotowka,9
654,111,93,90,xx-654,karta,6
655,111,94,90,xx-655,gotowka,10
656,111,95,90,xx-656,gotowka,10
657,111,96,90,xx-657,przelew,9
658,112,77,180,xx-658,karta,4
659,112,80,180,xx-659,przelew,10
660,113,81,120,xx-660,karta,5
661,113,82,120,xx-661,gotowka,6
662,113,83,120,xx-662,gotowka,3
663,113,84,120,xx-663,gotowka,4
664,113,85,120,xx-664,karta,3
665,113,86,120,xx-665,gotowka,7
666,113,87,120,xx-666,przelew,8
667,113,88,120,xx-667,karta,10
668,113,89,120,xx-668,karta,10
669,113,90,120,xx-669,przelew,8
670,114,91,30,xx-670,gotowka,10
671,114,92,30,xx-671,karta,9
672,114,93,30,xx-672,gotowka,4
673,114,94,30,xx-673,przelew,10
674,114,95,30,xx-674,gotowka,5
675,114,96,30,xx-675,gotowka,6
676,115,77,210,xx-676,przelew,3
677,116,81,240,xx-677,karta,4
678,116,82,240,xx-678,gotowka,3
679,116,83,240,xx-679,gotowka,6
680,116,84,240,xx-680,przelew,4
681,116,85,240,xx-681,karta,3
682,116,86,240,xx-682,karta,6
683,116,87,240,xx-683,karta,7
684,116,88,240,xx-684,przelew,9
685,116,89,240,xx-685,karta,3
686,116,90,240,xx-686,gotowka,4
687,117,91,120,xx-687,przelew,7
688,117,92,120,xx-688,przelew,9
689,117,93,120,xx-689,karta,6
690,117,94,120,xx-690,gotowka,9
691,117,95,120,xx-691,gotowka,6
692,117,96,120,xx-692,gotowka,10
693,118,97,180,xx-693,przelew,7
694,118,98,180,xx-694,karta,4
695,118,99,180,xx-695,gotowka,10
696,118,100,180,xx-696,gotowka,5
697,118,101,180,xx-697,karta,8
698,118,102,180,xx-698,przelew,6
699,118,103,180,xx-699,gotowka,5
700,118,104,180,xx-700,karta,5
701,118,105,180,xx-701,gotowka,8
702,118,106,180,xx-702,karta,3
703,119,107,540,xx-703,karta,7
704,119,108,540,xx-704,karta,10
705,119,109,540,xx-705,karta,8
706,119,110,540,xx-706,przelew,6
707,119,111,540,xx-707,karta,10
708,119,112,540,xx-708,karta,5
709,120,77,315,xx-709,gotowka,4
710,121,81,90,xx-710,gotowka,5
711,121,82,90,xx-711,karta,7
712,121,83,90,xx-712,karta,10
713,121,84,90,xx-713,karta,6
714,121,85,90,xx-714,przelew,10
715,121,86,90,xx-715,przelew,7
716,121,87,90,xx-716,karta,3
717,121,88,90,xx-717,przelew,4
718,121,89,90,xx-718,karta,9
719,121,90,90,xx-719,gotowka,5
720,122,91,315,xx-720,przelew,6
721,122,92,315,xx-721,gotowka,4
722,122,93,315,xx-722,gotowka,5
723,122,94,315,xx-723,przelew,3
724,122,95,315,xx-724,gotowka,7
725,122,96,315,xx-725,gotowka,10
726,123,97,150,xx-726,gotowka,4
727,123,98,150,xx-727,przelew,4
728,123,99,150,xx-728,karta,4
729,123,100,150,xx-729,gotowka,10
730,123,101,150,xx-730,gotowka,7
731,123,102,150,xx-731,przelew,9
